#separator:Comma
#html:true
#columns:Question,Answer,Tags
#tags column:3
"Difference between <code>undefined</code> and <code>null</code>?","<code>undefined</code> = variable declared but not assigned (or missing param/property). <code>null</code> = explicitly set to &quot;no value.&quot; Both are falsy; <code>null == undefined</code> is true; <code>null === undefined</code> is false.","ReactInterview::01-javascript-core"
"What does <code>typeof null</code> return?","<code>&#x27;object&#x27;</code> — a historical bug in JS, unfixable for backward compat.","ReactInterview::01-javascript-core"
"What is <code>NaN</code> and how do you check for it?","Not-a-Number, result of invalid numeric ops. <code>typeof NaN === &#x27;number&#x27;</code>. Check with <code>Number.isNaN(x)</code>, not <code>isNaN(x)</code> (which coerces first).","ReactInterview::01-javascript-core"
"<code>const</code> means immutable?","No — it means the binding can&#x27;t be reassigned. The object the <code>const</code> points to is still mutable.","ReactInterview::01-javascript-core"
"What triggers the TDZ error?","Accessing a <code>let</code>/<code>const</code>/<code>class</code> variable before its declaration line is executed.","ReactInterview::01-javascript-core"
"What does <code>structuredClone</code> not copy?","Functions, DOM nodes, class methods (prototype chain), <code>Error</code> causes in some runtimes.","ReactInterview::01-javascript-core"
"Microtask vs macrotask — give one example of each.","Microtask: <code>Promise.then</code>, <code>queueMicrotask</code>, <code>MutationObserver</code>. Macrotask: <code>setTimeout</code>, <code>setInterval</code>, <code>MessageChannel</code>, I/O callbacks.","ReactInterview::01-javascript-core"
"Can you <code>await</code> a non-Promise value?","Yes — <code>await 42</code> wraps it in <code>Promise.resolve(42)</code>. It still yields one microtask tick.","ReactInterview::01-javascript-core"
"What is <code>Promise.any</code> vs <code>Promise.race</code>?","<code>race</code> resolves/rejects with first settled (including rejection). <code>any</code> resolves with first *fulfilled*, only rejects if all reject (<code>AggregateError</code>).","ReactInterview::01-javascript-core"
"Why does <code>[] + []</code> equal <code>&quot;&quot;</code>?","Both coerce to <code>&quot;&quot;</code> (via <code>.toString()</code>), string concatenation → <code>&quot;&quot;</code>.","ReactInterview::01-javascript-core"
"What is a Symbol used for?","Unique, non-enumerable keys; well-known symbols (<code>Symbol.iterator</code>, <code>Symbol.toPrimitive</code>) hook into language protocols.","ReactInterview::01-javascript-core"
"<code>for...in</code> vs <code>for...of</code>?","<code>for...in</code> iterates *enumerable string keys* (including inherited). <code>for...of</code> iterates *values* of any iterable (array, Map, Set, generator). Never use <code>for...in</code> on arrays.","ReactInterview::01-javascript-core"
"What does <code>Object.create(null)</code> give you?","An object with no prototype — no <code>toString</code>, no <code>hasOwnProperty</code>. Used for pure hash maps to avoid prototype pollution attacks.","ReactInterview::01-javascript-core"
"What is <code>void 0</code>?","Evaluates expression, returns <code>undefined</code>. <code>void 0</code> is a reliable way to get <code>undefined</code> (before ES5, <code>undefined</code> was reassignable).","ReactInterview::01-javascript-core"
"How does tree-shaking know what to remove?","Static <code>import</code>/<code>export</code> analysis at bundle time. Side-effect-free marking in <code>package.json</code> (<code>&quot;sideEffects&quot;: false</code>) tells bundlers they can safely drop unused exports.","ReactInterview::01-javascript-core"
"What is the difference between currying and partial application?","Currying converts a multi-argument function into a chain of unary functions (<code>f(a)(b)(c)</code>). Partial application fixes one or more arguments up front and returns a function awaiting the rest — it doesn&#x27;t enforce one-arg-at-a-time.","ReactInterview::01-javascript-core"
"What breaks the generic <code>curry(fn)</code> implementation based on <code>fn.length</code>?","Rest parameters (<code>...args</code>) and default parameters — both cause <code>fn.length</code> to report 0 or fewer than expected, so the arity check never triggers and the function never executes.","ReactInterview::01-javascript-core"
